analysis,metric,estimate,unit,ci_95_lower,ci_95_upper
raw_sample,lexical_success_count,50,count,,
raw_sample,strict_human_success_count,39,count,,
raw_sample,false_positive_count,11,count,,
raw_sample,false_negative_count,0,count,,
raw_sample,cohens_kappa,0.78,coefficient,,
candidate_pool,known_lexical_asr,0.125,proportion,,
candidate_pool_strict_complete_case,human_asr,0.09749999999999999,proportion,0.0875,0.1075
candidate_pool_strict_complete_case,lexical_asr,0.125,proportion,0.125,0.125
candidate_pool_strict_complete_case,delta_asr_lexical_minus_human,0.027500000000000007,proportion,0.01750000000000001,0.037500000000000006
candidate_pool_strict_complete_case,disagreement_rate,0.0275,proportion,0.017499999999999998,0.0375
candidate_pool_strict_complete_case,false_positive_rate,0.030470914127423823,proportion,0.0196078431372549,0.0410958904109589
candidate_pool_lenient_complete_case,human_asr,0.13249999999999998,proportion,0.11,0.16999999999999998
candidate_pool_lenient_complete_case,delta_asr_lexical_minus_human,-0.0074999999999999884,proportion,-0.04499999999999999,0.014999999999999998
